Company Name,Holding Company Name,Customer State Name,Ownership Type,Bundled & Delivery Only Total Customers,Bundled & Delivery Only Total Sales Mwh,"Bundled, Energy Only & Delivery Only Total Revenue $ 000s",Delivery Only Total Customers,Delivery Only Total Sales MWh,Delivery Only Total Revenue $ 000s
PacifiCorp,Berkshire Hathaway Inc,Oregon,IOU," 629,529 "," 14,446,673 "," 1,685,368 ", 42 ," 455,560 "," 10,001 "
Portland General Electric Co,Portland General Electric Co,Oregon,IOU," 942,880 "," 21,696,532 "," 2,783,029 ", 497 ," 2,423,910 "," 31,947 "
Citizens Electric Co,Citizens Electric Co,Pennsylvania,IOU," 7,174 "," 150,901 "," 16,071 ", 66 ," 37,307 ", 644 
Duquesne Light Co,Duquesne Light Holdings Co,Pennsylvania,IOU," 613,788 "," 12,761,443 "," 1,156,887 "," 140,770 "," 8,546,109 "," 303,903 "
FirstEnergy Pennsylvania Electric Co,FirstEnergy Corp,Pennsylvania,IOU," 2,086,565 "," 50,812,044 "," 3,777,196 "," 451,663 "," 32,104,849 "," 652,454 "
PECO Energy Co,Exelon Corp,Pennsylvania,IOU," 1,706,299 "," 35,411,743 "," 2,786,150 "," 400,983 "," 21,361,554 "," 679,641 "
Pike County Light & Power Co,Corning Natural Gas Corp,Pennsylvania,IOU," 5,362 "," 81,622 "," 14,129 ", 917 ," 12,302 "," 1,344 "
PPL Electric Utilities Corp,PPL Corp,Pennsylvania,IOU," 1,487,347 "," 36,623,946 "," 2,265,018 "," 595,239 "," 26,454,293 "," 604,884 "
UGI Utilities Inc,UGI Corp,Pennsylvania,IOU," 62,920 "," 979,962 "," 136,792 "," 1,426 "," 225,874 "," 6,962 "
Wellsboro Electric Co,Tri County Rural Electric Coop Inc (PA),Pennsylvania,IOU," 6,469 "," 96,916 "," 12,588 ", 51 ," 18,217 ", 745 
Narragansett Electric Co,PPL Corp,Rhode Island,IOU," 514,663 "," 7,261,391 "," 1,323,445 "," 146,220 "," 4,071,522 "," 465,317 "
Dominion Energy South Carolina,Dominion Energy Inc,South Carolina,IOU," 806,434 "," 21,722,082 "," 2,566,478 ",,,
Duke Energy Carolinas,Duke Energy Corp,South Carolina,IOU," 674,022 "," 21,278,150 "," 2,207,746 ",,,
Duke Energy Progress,Duke Energy Corp,South Carolina,IOU," 176,806 "," 5,812,231 "," 639,219 ",,,
Lockhart Power Co,Milliken & Co,South Carolina,IOU," 6,343 "," 731,530 "," 45,048 ",,,
Black Hills Power Inc,Black Hills Corp,South Dakota,IOU," 74,842 "," 1,532,560 "," 201,503 ",,,
MDU Resources Group Inc,MDU Resources Group Inc,South Dakota,IOU," 8,451 "," 132,514 "," 18,114 ",,,
MidAmerican Energy Co,Berkshire Hathaway Inc,South Dakota,IOU," 5,326 "," 316,452 "," 20,100 ",,,
Northern States Power Co (Minnesota),Xcel Energy Inc,South Dakota,IOU," 105,798 "," 2,243,625 "," 268,931 ",,,
